time,tp,Month,Year,Region
1981-01-01,0.0007559722224133,1,1981,AZ_West
1981-02-01,0.0004358220273744,2,1981,AZ_West
1981-03-01,0.0017307961689197,3,1981,AZ_West
1981-04-01,0.0002762602022607,4,1981,AZ_West
1981-05-01,0.0003738721288327,5,1981,AZ_West
1981-06-01,0.0001382280737348,6,1981,AZ_West
1981-07-01,0.000573333947381,7,1981,AZ_West
1981-08-01,0.0006866110864992,8,1981,AZ_West
1981-09-01,0.0008716492568341,9,1981,AZ_West
1981-10-01,0.0006037574756213,10,1981,AZ_West
1981-11-01,0.0007564178677115,11,1981,AZ_West
1981-12-01,0.0001339172791378,12,1981,AZ_West
1982-01-01,0.0012503367825277,1,1982,AZ_West
1982-02-01,0.0007361141292011,2,1982,AZ_West
1982-03-01,0.0020111122636031,3,1982,AZ_West
1982-04-01,0.0003298989026915,4,1982,AZ_West
1982-05-01,0.0006300280058488,5,1982,AZ_West
1982-06-01,5.545076010655373e-05,6,1982,AZ_West
